,real_imps,win_imps,clks,real_clks,rewards,budget,spent,CPM
0,437520,62021,259,395,3503304.9253601916,16000000.0,2570569,41.44675190661228
1,420384,271502,348,369,-6987957.29770385,16000000.0,16000001,58.93142960272853
2,437520,272852,381,395,-6095850.044281518,16000000.0,15675374,57.450097488748476
3,437520,272852,381,395,-6095850.044281518,16000000.0,15675374,57.450097488748476
4,437520,272852,381,395,-6095850.044281518,16000000.0,15675374,57.450097488748476
5,437520,272852,381,395,-6095850.044281518,16000000.0,15675374,57.450097488748476
6,437520,272852,381,395,-6095850.044281518,16000000.0,15675374,57.450097488748476
7,437520,272852,381,395,-6095850.044281518,16000000.0,15675374,57.450097488748476
8,437520,272852,381,395,-6095850.044281518,16000000.0,15675374,57.450097488748476
9,437520,272852,381,395,-6095850.044281518,16000000.0,15675374,57.450097488748476
10,437520,272852,381,395,-6095850.044281518,16000000.0,15675374,57.450097488748476
11,437520,272852,381,395,-6095850.044281518,16000000.0,15675374,57.450097488748476
12,437520,272852,381,395,-6095850.044281518,16000000.0,15675374,57.450097488748476
13,437520,264296,378,395,-5492130.627196037,16000000.0,15004157,56.77027650815752
14,437520,272852,381,395,-6095850.044281518,16000000.0,15675374,57.450097488748476
15,437520,272852,381,395,-6095850.044281518,16000000.0,15675374,57.450097488748476
16,437520,272852,381,395,-6095850.044281518,16000000.0,15675374,57.450097488748476
17,437520,272852,381,395,-6095850.044281518,16000000.0,15675374,57.450097488748476
18,437520,272852,381,395,-6095850.044281518,16000000.0,15675374,57.450097488748476
19,437520,272852,381,395,-6095850.044281518,16000000.0,15675374,57.450097488748476
20,437520,272852,381,395,-6095850.044281518,16000000.0,15675374,57.450097488748476
21,437520,272852,381,395,-6095850.044281518,16000000.0,15675374,57.450097488748476
22,437520,272852,381,395,-6095850.044281518,16000000.0,15675374,57.450097488748476
23,437520,272852,381,395,-6095850.044281518,16000000.0,15675374,57.450097488748476
24,437520,272852,381,395,-6095850.044281518,16000000.0,15675374,57.450097488748476
25,437520,272852,381,395,-6095850.044281518,16000000.0,15675374,57.450097488748476
26,437520,272852,381,395,-6095850.044281518,16000000.0,15675374,57.450097488748476
27,437520,272852,381,395,-6095850.044281518,16000000.0,15675374,57.450097488748476
28,437520,272852,381,395,-6095850.044281518,16000000.0,15675374,57.450097488748476
29,437520,272852,381,395,-6095850.044281518,16000000.0,15675374,57.450097488748476
30,437520,273537,381,395,-6133400.291219508,16000000.0,15716591,57.456910765271246
31,437520,209712,339,395,-3961864.8450813894,16000000.0,12220443,58.27250228885328
32,437520,238442,368,395,-3774217.7760917316,16000000.0,13033043,54.65917497756268
33,260159,237299,207,207,-10488198.580674328,16000000.0,16000005,67.42550537507533
34,437520,164588,331,395,16432.691979410476,16000000.0,8234443,50.0306401438744
35,437520,217453,363,395,-2508672.5250120996,16000000.0,11559886,53.16038868169213
36,437520,136991,285,395,-57887.107467198264,16000000.0,7262414,53.01380382652875
37,437520,34804,216,395,3700588.1152488906,16000000.0,1480806,42.54700609125388
38,325255,249070,267,278,-9136963.41016343,16000000.0,16000101,64.2393744730397
39,286557,240347,221,234,-10130748.46079643,16000000.0,16000017,66.57048766991059
40,437520,231602,369,395,-3331559.1321527394,16000000.0,12536088,54.12771910432552
41,437520,195729,338,395,-2333307.657283077,16000000.0,10708053,54.70856643624603
42,437520,126326,276,395,300308.2375438108,16000000.0,6682426,52.89826322372275
43,437520,25652,197,395,3519894.24188887,16000000.0,1261688,49.184780913768904
44,437520,47430,225,395,3083279.2821515705,16000000.0,2292846,48.34168247944339
45,437520,39058,221,395,3385166.04778069,16000000.0,1820375,46.606969122842955
46,437520,229714,367,395,-3195234.1398841194,16000000.0,12388956,53.93208946777297
47,437520,124738,291,395,891424.5544413504,16000000.0,6249490,50.100931552534114
48,437520,259100,375,395,-5129946.08488503,16000000.0,14599026,56.3451408722501
49,347666,257092,292,297,-8425044.687943343,16000000.0,16000039,62.234682526099604
50,437520,179192,347,395,-427191.78612378816,16000000.0,9031744,50.40260725925265
51,437520,272852,381,395,-6095850.044281518,16000000.0,15675374,57.450097488748476
52,437520,272852,381,395,-6095850.044281518,16000000.0,15675374,57.450097488748476
53,437520,26923,206,395,3602013.4358163914,16000000.0,1299048,48.25049214426327
54,437520,26441,205,395,3599034.28299258,16000000.0,1284393,48.57581029461821
55,437520,26441,205,395,3599034.28299258,16000000.0,1284393,48.57581029461821
56,437520,26072,204,395,3602932.8755445704,16000000.0,1269869,48.7062365756367
57,437520,26072,204,395,3602932.8755445704,16000000.0,1269869,48.7062365756367
58,437520,26072,204,395,3602932.8755445704,16000000.0,1269869,48.7062365756367
59,437520,26286,204,395,3612892.146625871,16000000.0,1272722,48.418245453853764
60,437520,26286,204,395,3612892.146625871,16000000.0,1272722,48.418245453853764
61,437520,26286,204,395,3612892.146625871,16000000.0,1272722,48.418245453853764
62,437520,26125,204,395,3606173.205344571,16000000.0,1270720,48.64
